Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
4.0,3.0,6.0,16 a 30 años,2,,391583333.0,1.0,Bueno,,469900000,120.0,120.0
3.0,2.0,3.0,1 a 8 años,16,150000.0,426415094.0,1.0,Excelente,Loft,226000000,53.0,53.0
3.0,2.0,3.0,9 a 15 años,11,230000.0,451612903.0,1.0,Bueno,,280000000,62.0,62.0
1.0,,6.0,1 a 8 años,5,,7000000.0,2.0,,,490000000,70.0,70.0
2.0,1.0,2.0,menor a 1 año,2,,138461538.0,,Excelente,,90000000,65.0,0.0
4.0,2.0,5.0,16 a 30 años,3,451800.0,447619048.0,2.0,,,470000000,105.0,105.0
3.0,3.0,6.0,9 a 15 años,3,528000.0,525773196.0,2.0,Excelente,,510000000,97.0,89.0
3.0,2.0,3.0,más de 30 años,2,,227564103.0,,Excelente,,355000000,156.0,156.0
,,5.0,,,,615384615.0,,,,800000000,130.0,0.0
2.0,2.0,4.0,,3,,504968236.0,1.0,Excelente,,310000000,6139.0,0.0
1.0,1.0,4.0,9 a 15 años,11,178300.0,435483871.0,,,,135000000,31.0,0.0
2.0,3.0,6.0,más de 30 años,4,596300.0,436134454.0,1.0,Excelente,PentHouse,519000000,119.0,119.0
3.0,1.0,2.0,,4,,288888889.0,,,,130000000,45.0,45.0
2.0,2.0,5.0,9 a 15 años,3,300000.0,528205128.0,1.0,,,412000000,78.0,78.0
2.0,2.0,6.0,1 a 8 años,Otro,360000.0,694444444.0,2.0,Excelente,,625000000,90.0,0.0
4.0,4.0,6.0,16 a 30 años,,725000.0,383064516.0,2.0,,,950000000,248.0,248.0
4.0,3.0,6.0,16 a 30 años,4,450000.0,437037037.0,2.0,,,590000000,135.0,135.0
3.0,2.0,5.0,1 a 8 años,2,495000.0,427184466.0,1.0,,,440000000,103.0,0.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
3.0,3.0,6.0,16 a 30 años,4,750000.0,413173653.0,2.0,Bueno,,690000000,167.0,0.0
3.0,2.0,6.0,16 a 30 años,Otro,620000.0,488188976.0,2.0,Excelente,,620000000,127.0,127.0
2.0,1.0,3.0,9 a 15 años,2,,372972973.0,,Bueno,,138000000,37.0,37.0
3.0,3.0,5.0,9 a 15 años,2,456600.0,419354839.0,1.0,Excelente,,650000000,155.0,155.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,2.0,4.0,1 a 8 años,1,172000.0,4000000.0,,,,220000000,55.0,55.0
3.0,1.0,3.0,16 a 30 años,2,,314285714.0,,Bueno,,220000000,70.0,70.0
3.0,3.0,6.0,16 a 30 años,,592800.0,401709402.0,2.0,,,470000000,117.0,0.0
3.0,2.0,3.0,1 a 8 años,2,,194244604.0,,Excelente,,270000000,139.0,0.0
2.0,3.0,6.0,1 a 8 años,,573265.0,846442308.0,2.0,,,880300000,104.0,0.0
2.0,2.0,4.0,1 a 8 años,12,,363636364.0,,Bueno,,480000000,132.0,132.0
3.0,3.0,5.0,,,,685714286.0,1.0,Excelente,,720000000,105.0,0.0
3.0,2.0,5.0,,7,158000.0,569387755.0,1.0,,,558000000,98.0,98.0
3.0,5.0,5.0,,4,690000.0,742574257426.0,1.0,,,1500000000000,202.0,0.0
3.0,2.0,4.0,,10,292000.0,409836066.0,1.0,,,250000000,61.0,0.0
3.0,2.0,4.0,9 a 15 años,5,,426470588.0,1.0,Excelente,Loft,290000000,68.0,0.0
3.0,3.0,6.0,9 a 15 años,2,860000.0,432098765.0,2.0,,,700000000,162.0,162.0
2.0,1.0,3.0,1 a 8 años,7,70000.0,343243243.0,,Excelente,,127000000,37.0,0.0
4.0,4.0,6.0,16 a 30 años,7,450000.0,628205128.0,2.0,Excelente,,735000000,117.0,117.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
